clus,pois,latitude,longitude,time,categories
190,Teatro_Verdi_(Firenze),43.76995,11.26102222,120,teatridifirenze
191,Via_dell'Alloro,43.773925,11.25255556,551,stradedifirenze
192,Palazzo_degli_Sporti,43.77193889,11.26160556,120,palazzidifirenze
193,Palazzina_de'_Servi,43.77786389,11.26227778,120,palazzidifirenze
195,Studio_Fiorentino,43.77176389,11.25694444,134.2692308,storiadifirenze
196,Casa_di_Andrea_del_Sarto,43.77766667,11.26279444,120,andreadelsarto;palazzidifirenze
197,Palazzo_Marzichi-Lenzi,43.77304722,11.26286389,120,palazzidifirenze
198,Via_dell'Oriuolo,43.772375,11.25939444,120,stradedifirenze
199,Kunsthistorisches_Institut_in_Florenz;Palazzo_Zuccari,43.77753611,11.26313333,479,societàmaxplanck;istitutidiricercainitalia;storiadifirenze;palazzidifirenze;culturaafirenze
200,Palazzo_degli_Alessandri,43.77139444,11.26078056,446.7,palazzidifirenze
201,Ponte_Rosso,43.78616111,11.26225556,120,pontidifirenze
202,Palazzo_Mellini-Fossi,43.76868611,11.26058333,260.125,palazzidifirenze
203,Palazzo_Bardi,43.76749722,11.25909722,315.4285714,palazzidifirenze
204,Fontana_di_piazza_Santa_Croce,43.76911389,11.260825,120,fontanedifirenze
205,Palazzo_di_Bettino_Ricasoli,43.77422222,11.25656111,166.2195122,residenze;palazzidifirenze
206,Villa_Schifanoia,43.79858056,11.28168889,120,ville
207,Casa_di_Giovan_Battista_Foggini;Palazzo_Corsini-Rosselli_del_Turco,43.76563333,11.24820556,120,palazzidifirenze;palazzidifirenze
208,Sagrestia_Vecchia;Tomba_di_Giovanni_e_Piero_de'_Medici,43.77471389,11.25364722,219,scultureafirenze;basilichedifirenze;architetturedifirenze;sagrestiedifirenze;basilichedifirenze;scultureafirenze
209,Lungarno_della_Zecca_Vecchia,43.76641111,11.26491389,120,stradedifirenze
210,Oratorio_dei_Vanchetoni,43.77326667,11.24719167,546.0588235,chiesedifirenze
211,Tabernacolo_di_San_Sisto_papa,43.77176667,11.25059444,120,tabernacolidifirenze
212,Palazzo_Pazzi,43.77127222,11.25836389,120,palazzidifirenze;architetturedifirenze
